DATE,TIME,CURRENCY,IMPACT,NEWS,,,ACTUAL,FORECAST,PREVIOUS
12/15/2023,14:45,USD,H,Flash Manufacturing PMI,,,,49.5,49.4
12/15/2023,14:45,USD,H,Flash Services PMI,,,,50.7,50.8
12/20/2023,15:00,USD,H,CB Consumer Confidence,,,,104.6,102
12/21/2023,13:30,USD,H,Final GDP q/q,,,,5.20%,5.20%
12/21/2023,13:30,USD,H,Unemployment Claims,,,,214K,202K
12/22/2023,13:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.20%
12/22/2023,15:00,USD,H,Revised UoM Consumer Sentiment,,,,69.4,69.4
1/3/2024,15:00,USD,H,ISM Manufacturing PMI,,,,47.2,46.7
1/3/2024,15:00,USD,H,JOLTS Job Openings,,,,8.84M,8.73M
1/3/2024,19:00,USD,H,FOMC Meeting Minutes,,,,,
1/4/2024,13:15,USD,H,ADP Non-Farm Employment Change,,,,120K,103K
1/4/2024,13:30,USD,H,Unemployment Claims,,,,217K,218K
1/5/2024,13:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.40%
1/5/2024,13:30,USD,H,Non-Farm Employment Change,,,,168K,199K
1/5/2024,13:30,USD,H,Unemployment Rate,,,,3.80%,3.70%
1/5/2024,15:00,USD,H,ISM Services PMI,,,,52.5,52.7
1/11/2024,13:30,USD,H,Core CPI m/m,,,,0.30%,0.30%
1/11/2024,13:30,USD,H,CPI m/m,,,,0.20%,0.10%
1/11/2024,13:30,USD,H,CPI y/y,,,,3.20%,3.10%
1/11/2024,13:30,USD,H,Unemployment Claims,,,,209K,202K
1/12/2024,13:30,USD,H,Core PPI m/m,,,,0.20%,0.00%
1/12/2024,13:30,USD,H,PPI m/m,,,,0.10%,0.00%
1/16/2024,13:30,USD,H,Empire State Manufacturing Index,,,,-4.9,-14.5
1/17/2024,13:30,USD,H,Core Retail Sales m/m,,,,0.20%,0.20%
1/17/2024,13:30,USD,H,Retail Sales m/m,,,,0.40%,0.30%
1/18/2024,13:30,USD,H,Unemployment Claims,,,,206K,202K
1/19/2024,15:00,USD,H,Prelim UoM Consumer Sentiment,,,,69.8,69.4
1/24/2024,14:45,USD,H,Flash Manufacturing PMI,,,,47.6,48.2
1/24/2024,14:45,USD,H,Flash Services PMI,,,,51.4,51.3
1/25/2024,13:30,USD,H,Advance GDP q/q,,,,2.00%,4.90%
1/25/2024,13:30,USD,H,Unemployment Claims,,,,199K,187K
1/26/2024,13:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.10%
1/30/2024,15:00,USD,H,CB Consumer Confidence,,,,114.2,110.7
1/30/2024,15:00,USD,H,JOLTS Job Openings,,,,8.73M,8.79M
1/31/2024,13:15,USD,H,ADP Non-Farm Employment Change,,,,148K,164K
1/31/2024,13:30,USD,H,Employment Cost Index q/q,,,,1.00%,1.10%
1/31/2024,19:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
1/31/2024,19:00,USD,H,FOMC Statement,,,,,
1/31/2024,19:30,USD,H,FOMC Press Conference,,,,,
2/1/2024,13:30,USD,H,Unemployment Claims,,,,213K,214K
2/1/2024,15:00,USD,H,ISM Manufacturing PMI,,,,47.2,47.4
2/2/2024,13:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.40%
2/2/2024,13:30,USD,H,Non-Farm Employment Change,,,,187K,216K
2/2/2024,13:30,USD,H,Unemployment Rate,,,,3.80%,3.70%
2/2/2024,15:00,USD,H,Revised UoM Consumer Sentiment,,,,78.9,78.8
2/5/2024,0:00,USD,H,Fed Chair Powell Speaks,,,,,
2/5/2024,15:00,USD,H,ISM Services PMI,,,,52,50.6
2/8/2024,13:30,USD,H,Unemployment Claims,,,,221K,224K
2/13/2024,13:30,USD,H,Core CPI m/m,,,,0.30%,0.30%
2/13/2024,13:30,USD,H,CPI m/m,,,,0.20%,0.30%
2/13/2024,13:30,USD,H,CPI y/y,,,,2.90%,3.40%
2/15/2024,13:30,USD,H,Core Retail Sales m/m,,,,0.20%,0.40%
2/15/2024,13:30,USD,H,Empire State Manufacturing Index,,,,-13.7,-43.7
2/15/2024,13:30,USD,H,Retail Sales m/m,,,,-0.20%,0.60%
2/15/2024,13:30,USD,H,Unemployment Claims,,,,219K,218K
2/16/2024,13:30,USD,H,Core PPI m/m,,,,0.10%,0.00%
2/16/2024,13:30,USD,H,PPI m/m,,,,0.10%,-0.10%
2/16/2024,15:00,USD,H,Prelim UoM Consumer Sentiment,,,,80,78.8
2/21/2024,19:00,USD,H,FOMC Meeting Minutes,,,,,
2/22/2024,13:30,USD,H,Unemployment Claims,,,,217K,212K
2/22/2024,14:45,USD,H,Flash Manufacturing PMI,,,,50.5,50.3
2/22/2024,14:45,USD,H,Flash Services PMI,,,,52.4,52.9
2/27/2024,13:30,USD,H,Durable Goods Orders m/m,,,,-4.90%,0.00%
2/27/2024,15:00,USD,H,CB Consumer Confidence,,,,114.8,114.8
2/28/2024,13:30,USD,H,Prelim GDP q/q,,,,3.30%,3.30%
2/29/2024,13:30,USD,H,Core PCE Price Index m/m,,,,0.40%,0.20%
2/29/2024,13:30,USD,H,Unemployment Claims,,,,209K,201K
3/1/2024,15:00,USD,H,ISM Manufacturing PMI,,,,49.5,49.1
3/1/2024,15:00,USD,H,Revised UoM Consumer Sentiment,,,,79.6,79.6
3/5/2024,15:00,USD,H,ISM Services PMI,,,,53,53.4
3/6/2024,13:15,USD,H,ADP Non-Farm Employment Change,,,,149K,107K
3/6/2024,15:00,USD,H,Fed Chair Powell Testifies,,,,,
3/6/2024,15:00,USD,H,JOLTS Job Openings,,,,8.80M,9.03M
3/7/2024,13:30,USD,H,Unemployment Claims,,,,217K,215K
3/7/2024,15:00,USD,H,Fed Chair Powell Testifies,,,,,
3/8/2024,13:30,USD,H,Average Hourly Earnings m/m,,,,0.20%,0.60%
3/8/2024,13:30,USD,H,Non-Farm Employment Change,,,,198K,353K
3/8/2024,13:30,USD,H,Unemployment Rate,,,,3.70%,3.70%
3/12/2024,12:30,USD,H,Core CPI m/m,,,,0.30%,0.40%
3/12/2024,12:30,USD,H,CPI m/m,,,,0.40%,0.30%
3/12/2024,12:30,USD,H,CPI y/y,,,,3.10%,3.10%
3/12/2024,17:01,USD,H,10-y Bond Auction,,,,,4.09|2.6
3/13/2024,17:01,USD,H,30-y Bond Auction,,,,,4.36|2.4
3/14/2024,12:30,USD,H,Core PPI m/m,,,,0.20%,0.50%
3/14/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.50%,-0.60%
3/14/2024,12:30,USD,H,PPI m/m,,,,0.30%,0.30%
3/14/2024,12:30,USD,H,Retail Sales m/m,,,,0.80%,-0.80%
3/14/2024,12:30,USD,H,Unemployment Claims,,,,218K,217K
3/15/2024,12:30,USD,H,Empire State Manufacturing Index,,,,-7,-2.4
3/15/2024,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,77.1,79.6
3/20/2024,18:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
3/20/2024,18:00,USD,H,FOMC Economic Projections,,,,,
3/20/2024,18:00,USD,H,FOMC Statement,,,,,
3/20/2024,18:30,USD,H,FOMC Press Conference,,,,,
3/21/2024,12:30,USD,H,Unemployment Claims,,,,212K,209K
3/21/2024,13:45,USD,H,Flash Manufacturing PMI,,,,51.8,51.5
3/21/2024,13:45,USD,H,Flash Services PMI,,,,52,51.3
3/22/2024,13:00,USD,H,Fed Chair Powell Speaks,,,,,
3/26/2024,14:00,USD,H,CB Consumer Confidence,,,,106.9,106.7
3/27/2024,22:00,USD,H,FOMC Member Waller Speaks,,,,,
3/28/2024,12:30,USD,H,Final GDP q/q,,,,3.20%,3.20%
3/28/2024,12:30,USD,H,Unemployment Claims,,,,212K,210K
3/28/2024,14:00,USD,H,Pending Home Sales m/m,,,,1.40%,-4.90%
3/28/2024,14:00,USD,H,Revised UoM Consumer Sentiment,,,,76.5,76.5
3/29/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.30%,0.40%
3/29/2024,15:30,USD,H,Fed Chair Powell Speaks,,,,,
4/1/2024,14:00,USD,H,ISM Manufacturing PMI,,,,48.5,47.8
4/2/2024,14:00,USD,H,JOLTS Job Openings,,,,8.76M,8.86M
4/3/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,148K,140K
4/3/2024,14:00,USD,H,ISM Services PMI,,,,52.8,52.6
4/3/2024,16:10,USD,H,Fed Chair Powell Speaks,,,,,
4/4/2024,12:30,USD,H,Unemployment Claims,,,,213K,210K
4/5/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.10%
4/5/2024,12:30,USD,H,Non-Farm Employment Change,,,,212K,275K
4/5/2024,12:30,USD,H,Unemployment Rate,,,,3.90%,3.90%
4/10/2024,12:30,USD,H,Core CPI m/m,,,,0.30%,0.40%
4/10/2024,12:30,USD,H,CPI m/m,,,,0.30%,0.40%
4/10/2024,12:30,USD,H,CPI y/y,,,,3.40%,3.20%
4/10/2024,18:00,USD,H,FOMC Meeting Minutes,,,,,
4/11/2024,12:30,USD,H,Core PPI m/m,,,,0.20%,0.30%
4/11/2024,12:30,USD,H,PPI m/m,,,,0.30%,0.60%
4/11/2024,12:30,USD,H,Unemployment Claims,,,,216K,221K
4/11/2024,17:01,USD,H,30-y Bond Auction,,,,,4.33|2.5
4/12/2024,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,79,76.5
4/15/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.50%,0.30%
4/15/2024,12:30,USD,H,Empire State Manufacturing Index,,,,-5.2,-20.9
4/15/2024,12:30,USD,H,Retail Sales m/m,,,,0.40%,0.60%
4/16/2024,17:15,USD,H,Fed Chair Powell Speaks,,,,,
4/18/2024,12:30,USD,H,Unemployment Claims,,,,215K,211K
4/23/2024,13:45,USD,H,Flash Manufacturing PMI,,,,52,52.5
4/23/2024,13:45,USD,H,Flash Services PMI,,,,52,51.7
4/25/2024,12:30,USD,H,Advance GDP q/q,,,,2.50%,3.30%
4/25/2024,12:30,USD,H,Unemployment Claims,,,,214K,212K
4/25/2024,14:00,USD,H,Pending Home Sales m/m,,,,0.30%,1.60%
4/26/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.30%,0.30%
4/26/2024,14:00,USD,H,Revised UoM Consumer Sentiment,,,,77.9,77.9
4/30/2024,12:30,USD,H,Employment Cost Index q/q,,,,1.00%,0.90%
4/30/2024,14:00,USD,H,CB Consumer Confidence,,,,104,104.7
5/1/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,179K,184K
5/1/2024,13:45,USD,H,Final Manufacturing PMI,,,,49.9,49.9
5/1/2024,14:00,USD,H,ISM Manufacturing PMI,,,,50,50.3
5/1/2024,14:00,USD,H,JOLTS Job Openings,,,,8.68M,8.76M
5/1/2024,18:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
5/1/2024,18:00,USD,H,FOMC Statement,,,,,
5/1/2024,18:30,USD,H,FOMC Press Conference,,,,,
5/2/2024,12:30,USD,H,Unemployment Claims,,,,212K,207K
5/3/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.30%
5/3/2024,12:30,USD,H,Non-Farm Employment Change,,,,238K,303K
5/3/2024,12:30,USD,H,Unemployment Rate,,,,3.80%,3.80%
5/3/2024,14:00,USD,H,ISM Services PMI,,,,52,51.4
5/9/2024,12:30,USD,H,Unemployment Claims,,,,212K,208K
5/9/2024,17:01,USD,H,30-y Bond Auction,,,,,4.67|2.4
5/10/2024,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,76.3,77.9
5/14/2024,12:30,USD,H,Core PPI m/m,,,,0.20%,0.20%
5/14/2024,12:30,USD,H,PPI m/m,,,,0.30%,0.20%
5/14/2024,14:00,USD,H,Fed Chair Powell Speaks,,,,,
5/15/2024,12:30,USD,H,Core CPI m/m,,,,0.30%,0.40%
5/15/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.20%,1.10%
5/15/2024,12:30,USD,H,CPI m/m,,,,0.40%,0.40%
5/15/2024,12:30,USD,H,CPI y/y,,,,3.40%,3.50%
5/15/2024,12:30,USD,H,Empire State Manufacturing Index,,,,-9.9,-14.3
5/15/2024,12:30,USD,H,Retail Sales m/m,,,,0.40%,0.70%
5/16/2024,12:30,USD,H,Unemployment Claims,,,,219K,231K
5/22/2024,18:00,USD,H,FOMC Meeting Minutes,,,,,
5/23/2024,12:30,USD,H,Unemployment Claims,,,,220K,222K
5/23/2024,13:45,USD,H,Flash Manufacturing PMI,,,,50,49.9
5/23/2024,13:45,USD,H,Flash Services PMI,,,,51.2,50.9
5/24/2024,14:00,USD,H,Revised UoM Consumer Sentiment,,,,67.8,67.4
5/28/2024,14:00,USD,H,CB Consumer Confidence,,,,96,97
5/30/2024,12:30,USD,H,Prelim GDP q/q,,,,1.20%,1.60%
5/30/2024,12:30,USD,H,Unemployment Claims,,,,218K,215K
5/30/2024,14:00,USD,H,Pending Home Sales m/m,,,,-1.10%,3.40%
5/31/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.30%,0.30%
6/3/2024,13:45,USD,H,Final Manufacturing PMI,,,,50.9,50.9
6/3/2024,14:00,USD,H,ISM Manufacturing PMI,,,,49.8,49.2
6/4/2024,14:00,USD,H,JOLTS Job Openings,,,,8.37M,8.49M
6/5/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,173K,192K
6/5/2024,14:00,USD,H,ISM Services PMI,,,,51,49.4
6/6/2024,12:30,USD,H,Unemployment Claims,,,,220K,219K
6/7/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.20%
6/7/2024,12:30,USD,H,Non-Farm Employment Change,,,,182K,175K
6/7/2024,12:30,USD,H,Unemployment Rate,,,,3.90%,3.90%
6/12/2024,12:30,USD,H,Core CPI m/m,,,,0.30%,0.30%
6/12/2024,12:30,USD,H,CPI m/m,,,,0.10%,0.30%
6/12/2024,12:30,USD,H,CPI y/y,,,,3.40%,3.40%
6/12/2024,18:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
6/12/2024,18:00,USD,H,FOMC Economic Projections,,,,,
6/12/2024,18:00,USD,H,FOMC Statement,,,,,
6/12/2024,18:30,USD,H,FOMC Press Conference,,,,,
6/13/2024,12:30,USD,H,Core PPI m/m,,,,0.30%,0.50%
6/13/2024,12:30,USD,H,PPI m/m,,,,0.10%,0.50%
6/13/2024,12:30,USD,H,Unemployment Claims,,,,225K,229K
6/14/2024,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,72.1,67.4
6/17/2024,12:30,USD,H,Empire State Manufacturing Index,,,,-12.5,-15.6
6/18/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.20%,0.20%
6/18/2024,12:30,USD,H,Retail Sales m/m,,,,0.30%,0.00%
6/20/2024,12:30,USD,H,Unemployment Claims,,,,235K,242K
6/20/2024,20:00,USD,H,Treasury Currency Report,,,,,
6/21/2024,13:45,USD,H,Flash Manufacturing PMI,,,,51,50.9
6/21/2024,13:45,USD,H,Flash Services PMI,,,,53.4,54.8
6/25/2024,14:00,USD,H,CB Consumer Confidence,,,,100,102
6/26/2024,14:00,USD,H,New Home Sales,,,,636K,634K
6/27/2024,12:30,USD,H,Final GDP q/q,,,,1.40%,1.30%
6/27/2024,12:30,USD,H,Unemployment Claims,,,,236K,238K
6/27/2024,14:00,USD,H,Pending Home Sales m/m,,,,0.60%,-7.70%
6/28/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.10%,0.20%
7/1/2024,14:00,USD,H,ISM Manufacturing PMI,,,,49.2,48.7
7/2/2024,13:30,USD,H,Fed Chair Powell Speaks,,,,,
7/2/2024,14:00,USD,H,JOLTS Job Openings,,,,7.96M,8.06M
7/3/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,163K,152K
7/3/2024,12:30,USD,H,Unemployment Claims,,,,234K,233K
7/3/2024,14:00,USD,H,ISM Services PMI,,,,52.6,53.8
7/3/2024,18:00,USD,H,FOMC Meeting Minutes,,,,,
7/5/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.40%
7/5/2024,12:30,USD,H,Non-Farm Employment Change,,,,191K,272K
7/5/2024,12:30,USD,H,Unemployment Rate,,,,4.00%,4.00%
7/9/2024,14:00,USD,H,Fed Chair Powell Testifies,,,,,
7/10/2024,14:00,USD,H,Fed Chair Powell Testifies,,,,,
7/11/2024,12:30,USD,H,Core CPI m/m,,,,0.20%,0.20%
7/11/2024,12:30,USD,H,CPI m/m,,,,0.10%,0.00%
7/11/2024,12:30,USD,H,CPI y/y,,,,3.10%,3.30%
7/11/2024,12:30,USD,H,Unemployment Claims,,,,236K,238K
7/12/2024,12:30,USD,H,Core PPI m/m,,,,0.20%,0.00%
7/12/2024,12:30,USD,H,PPI m/m,,,,0.10%,-0.20%
7/12/2024,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,68.5,65.6
7/15/2024,12:30,USD,H,Empire State Manufacturing Index,,,,-5.5,-6
7/15/2024,16:30,USD,H,Fed Chair Powell Speaks,,,,,
7/16/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.10%,-0.10%
7/16/2024,12:30,USD,H,Retail Sales m/m,,,,-0.30%,0.10%
7/18/2024,12:30,USD,H,Unemployment Claims,,,,229K,222K
7/24/2024,13:45,USD,H,Flash Manufacturing PMI,,,,51.7,51.7
7/24/2024,13:45,USD,H,Flash Services PMI,,,,54.7,55.1
7/25/2024,12:30,USD,H,Advance GDP q/q,,,,2.00%,1.60%
7/25/2024,12:30,USD,H,Unemployment Claims,,,,237K,243K
7/26/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.10%
7/30/2024,14:00,USD,H,CB Consumer Confidence,,,,99.7,100.4
7/30/2024,14:00,USD,H,JOLTS Job Openings,,,,8.02M,8.14M
7/31/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,147K,150K
7/31/2024,12:30,USD,H,Employment Cost Index q/q,,,,1.00%,1.20%
7/31/2024,14:00,USD,H,Pending Home Sales m/m,,,,1.40%,-2.10%
7/31/2024,18:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
7/31/2024,18:00,USD,H,FOMC Statement,,,,,
7/31/2024,18:30,USD,H,FOMC Press Conference,,,,,
8/1/2024,12:30,USD,H,Unemployment Claims,,,,236K,235K
8/1/2024,14:00,USD,H,ISM Manufacturing PMI,,,,48.8,48.5
8/2/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.30%
8/2/2024,12:30,USD,H,Non-Farm Employment Change,,,,176K,206K
8/2/2024,12:30,USD,H,Unemployment Rate,,,,4.10%,4.10%
8/5/2024,14:00,USD,H,ISM Services PMI,,,,51.1,48.8
8/8/2024,12:30,USD,H,Unemployment Claims,,,,241K,249K
8/13/2024,12:30,USD,H,Core PPI m/m,,,,0.20%,0.40%
8/13/2024,12:30,USD,H,PPI m/m,,,,0.20%,0.20%
8/14/2024,12:30,USD,H,Core CPI m/m,,,,0.20%,0.10%
8/14/2024,12:30,USD,H,CPI m/m,,,,0.20%,-0.10%
8/14/2024,12:30,USD,H,CPI y/y,,,,3.00%,3.00%
8/15/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.10%,0.40%
8/15/2024,12:30,USD,H,Retail Sales m/m,,,,0.40%,0.00%
8/15/2024,12:30,USD,H,Unemployment Claims,,,,236K,233K
8/21/2024,18:00,USD,H,FOMC Meeting Minutes,,,,,
8/22/2024,12:30,USD,H,Unemployment Claims,,,,232K,227K
8/22/2024,13:45,USD,H,Flash Manufacturing PMI,,,,49.5,49.5
8/22/2024,13:45,USD,H,Flash Services PMI,,,,54,56
8/23/2024,14:00,USD,H,Fed Chair Powell Speaks,,,,,
8/27/2024,14:00,USD,H,CB Consumer Confidence,,,,100.9,100.3
8/29/2024,12:30,USD,H,Prelim GDP q/q,,,,2.80%,2.80%
8/29/2024,12:30,USD,H,Unemployment Claims,,,,232K,232K
8/30/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.20%
9/3/2024,14:00,USD,H,ISM Manufacturing PMI,,,,47.5,46.8
9/4/2024,14:00,USD,H,JOLTS Job Openings,,,,8.09M,8.18M
9/5/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,144K,122K
9/5/2024,12:30,USD,H,Unemployment Claims,,,,231K,231K
9/5/2024,14:00,USD,H,ISM Services PMI,,,,51.3,51.4
9/6/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.20%
9/6/2024,12:30,USD,H,Non-Farm Employment Change,,,,164K,114K
9/6/2024,12:30,USD,H,Unemployment Rate,,,,4.20%,4.30%
9/6/2024,15:00,USD,H,FOMC Member Waller Speaks,,,,,
9/11/2024,12:30,USD,H,Core CPI m/m,,,,0.20%,0.20%
9/11/2024,12:30,USD,H,CPI m/m,,,,0.20%,0.20%
9/11/2024,12:30,USD,H,CPI y/y,,,,2.50%,2.90%
9/12/2024,12:30,USD,H,Core PPI m/m,,,,0.20%,0.00%
9/12/2024,12:30,USD,H,PPI m/m,,,,0.10%,0.10%
9/12/2024,12:30,USD,H,Unemployment Claims,,,,227K,227K
9/17/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.20%,0.40%
9/17/2024,12:30,USD,H,Retail Sales m/m,,,,-0.20%,1.00%
9/18/2024,18:00,USD,H,Federal Funds Rate,,,,5.25%,5.50%
9/18/2024,18:00,USD,H,FOMC Economic Projections,,,,,
9/18/2024,18:00,USD,H,FOMC Statement,,,,,
9/18/2024,18:30,USD,H,FOMC Press Conference,,,,,
9/19/2024,12:30,USD,H,Unemployment Claims,,,,230K,230K
9/23/2024,13:45,USD,H,Flash Manufacturing PMI,,,,48.6,48
9/23/2024,13:45,USD,H,Flash Services PMI,,,,55.3,55.2
9/24/2024,14:00,USD,H,CB Consumer Confidence,,,,103.9,103.3
9/26/2024,12:30,USD,H,Final GDP q/q,,,,3.00%,3.00%
9/26/2024,12:30,USD,H,Unemployment Claims,,,,224K,219K
9/26/2024,13:20,USD,H,Fed Chair Powell Speaks,,,,,
9/27/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.20%
9/30/2024,17:55,USD,H,Fed Chair Powell Speaks,,,,,
10/1/2024,14:00,USD,H,ISM Manufacturing PMI,,,,47.6,47.2
10/1/2024,14:00,USD,H,JOLTS Job Openings,,,,7.64M,7.67M
10/2/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,124K,99K
10/3/2024,12:30,USD,H,Unemployment Claims,,,,222K,218K
10/3/2024,14:00,USD,H,ISM Services PMI,,,,51.7,51.5
10/4/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.40%
10/4/2024,12:30,USD,H,Non-Farm Employment Change,,,,147K,142K
10/4/2024,12:30,USD,H,Unemployment Rate,,,,4.20%,4.20%
10/9/2024,18:00,USD,H,FOMC Meeting Minutes,,,,,
10/10/2024,12:30,USD,H,Core CPI m/m,,,,0.20%,0.30%
10/10/2024,12:30,USD,H,CPI m/m,,,,0.10%,0.20%
10/10/2024,12:30,USD,H,CPI y/y,,,,2.30%,2.50%
10/10/2024,12:30,USD,H,Unemployment Claims,,,,231K,225K
10/11/2024,12:30,USD,H,Core PPI m/m,,,,0.20%,0.30%
10/11/2024,12:30,USD,H,PPI m/m,,,,0.10%,0.20%
10/17/2024,12:30,USD,H,Core Retail Sales m/m,,,,0.10%,0.10%
10/17/2024,12:30,USD,H,Retail Sales m/m,,,,0.30%,0.10%
10/17/2024,12:30,USD,H,Unemployment Claims,,,,241K,258K
10/24/2024,12:30,USD,H,Unemployment Claims,,,,243K,241K
10/24/2024,13:45,USD,H,Flash Manufacturing PMI,,,,47.5,47
10/24/2024,13:45,USD,H,Flash Services PMI,,,,55,55.4
10/29/2024,14:00,USD,H,CB Consumer Confidence,,,,99.5,98.7
10/29/2024,14:00,USD,H,JOLTS Job Openings,,,,7.98M,8.04M
10/30/2024,12:15,USD,H,ADP Non-Farm Employment Change,,,,110K,143K
10/30/2024,12:30,USD,H,Advance GDP q/q,,,,3.00%,2.80%
10/31/2024,12:30,USD,H,Core PCE Price Index m/m,,,,0.30%,0.10%
10/31/2024,12:30,USD,H,Employment Cost Index q/q,,,,0.90%,0.90%
10/31/2024,12:30,USD,H,Unemployment Claims,,,,229K,227K
11/1/2024,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.40%
11/1/2024,12:30,USD,H,Non-Farm Employment Change,,,,106K,254K
11/1/2024,12:30,USD,H,Unemployment Rate,,,,4.10%,4.10%
11/1/2024,14:00,USD,H,ISM Manufacturing PMI,,,,47.6,47.2
11/5/2024,15:00,USD,H,ISM Services PMI,,,,53.8,54.9
11/5/2024,15:15,USD,H,Presidential Election,,,,,
11/5/2024,15:16,USD,H,Congressional Elections,,,,,
11/7/2024,13:30,USD,H,Unemployment Claims,,,,223K,216K
11/7/2024,19:00,USD,H,Federal Funds Rate,,,,4.75%,5.00%
11/7/2024,19:00,USD,H,FOMC Statement,,,,,
11/7/2024,19:30,USD,H,FOMC Press Conference,,,,,
11/13/2024,13:30,USD,H,Core CPI m/m,,,,0.30%,0.30%
11/13/2024,13:30,USD,H,CPI m/m,,,,0.20%,0.20%
11/13/2024,13:30,USD,H,CPI y/y,,,,2.60%,2.40%
11/14/2024,13:30,USD,H,Core PPI m/m,,,,0.30%,0.20%
11/14/2024,13:30,USD,H,PPI m/m,,,,0.20%,0.00%
11/14/2024,13:30,USD,H,Unemployment Claims,,,,224K,221K
11/14/2024,20:00,USD,H,Fed Chair Powell Speaks,,,,,
11/15/2024,13:30,USD,H,Core Retail Sales m/m,,,,0.30%,0.50%
11/15/2024,13:30,USD,H,Retail Sales m/m,,,,0.30%,0.40%
